row_id,split,split_order,target,name,formula,natoms,efermi_eV,evac_eV,workfunction_eV,workfunction_recomputed_eV,formula_abs_diff_eV
1,train,1300,5.094681,MIP2D-842-Mo2N2,Mo2N2,4,-2.51,2.584681,5.094681,5.094681,0.0
2,val,161,6.355574000000001,MIP2D-1264-Br2S2Sc2,Br2S2Sc2,6,-4.2777,2.0778740000000004,6.355574000000001,6.355574000000001,0.0
3,train,938,5.831578,MIP2D-1467-Fe2I2S2,Fe2I2S2,6,-3.0034,2.8281780000000003,5.831578,5.831578,0.0
4,train,1329,4.825641,MIP2D-1718-Te6W2,Te6W2,8,-0.9896,3.8360410000000003,4.825641,4.825641,0.0
5,val,28,4.791586,MIP2D-1751-Cd1S1,CdS,2,-4.0374,0.754186,4.791586,4.791586,0.0
6,train,221,5.430599,MIP2D-1827-Ni2S2,Ni2S2,4,-3.7958,1.634799,5.430599,5.430599,0.0
7,val,183,5.961346,MIP2D-1261-Br2Ru2S2,Br2Ru2S2,6,-3.2157,2.745646,5.961346,5.961346,0.0
8,train,1425,4.915515999999999,MIP2D-1475-Fe2Te6,Fe2Te6,8,-1.0109,3.9046159999999994,4.915515999999999,4.915515999999999,0.0
9,train,612,7.110754999999999,MIP2D-1651-O6V2,O6V2,8,-4.3114,2.7993549999999994,7.110754999999999,7.110754999999999,0.0
10,train,640,2.7973310000000007,MIP2D-353-C2H2O2W3,C2H2O2W3,9,1.5153,4.3126310000000005,2.7973310000000007,2.7973310000000007,0.0
11,train,504,5.494897,MIP2D-1163-Bi2I2Se2,Bi2I2Se2,6,-4.2542,1.2406970000000002,5.494897,5.494897,0.0
12,train,1259,5.936794000000001,MIP2D-1321-Cl2Ga2S2,Cl2Ga2S2,6,-3.6716,2.265194,5.936794000000001,5.936794000000001,0.0
13,train,1195,4.401687,MIP2D-892-O1Tl2,OTl2,3,-2.5603,1.8413870000000003,4.401687,4.401687,0.0
