report_order,trial_order,trial_id,epoch,new_incumbent_loss,gain_vs_previous,val_mae,val_rmse,val_r2,hidden_features,alignn_layers,gcn_layers,lr,weight_decay,batch_size,loss
1,5,5e987e12,1,0.2816115618934707,,0.8288356925435092,1.0870694405872117,0.1901774836070098,192,3,4,0.0003855359747,1.9007704791649575e-05,8,smoothl1
2,2,746894a0,1,0.2024511090977482,0.0791604527957225,0.6794570986343604,0.9100246797938192,0.4324794206028821,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
13,5,5e987e12,2,0.1844201384398041,0.018030970657944,0.6656194413905638,0.8525206723905873,0.5019360470460079,192,3,4,0.0003855359747,1.9007704791649575e-05,8,smoothl1
24,2,746894a0,3,0.1649902981346246,0.0194298403051794,0.618997853590452,0.7960946859453804,0.5656851055362441,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
64,2,746894a0,7,0.1586476823797932,0.0063426157548313,0.6063289011325949,0.7796895127569478,0.5834005818766379,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
84,2,746894a0,9,0.1534208275338329,0.0052268548459603,0.6059394832542634,0.7684672595877164,0.5953067023413467,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
94,2,746894a0,10,0.1318659413428533,0.0215548861909796,0.5350723896455002,0.712330355982109,0.652273188792985,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
116,2,746894a0,12,0.1221078678413673,0.0097580735014859,0.5151543351431445,0.6815818979321036,0.6816452247692798,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
126,8,1e2b000e,11,0.117761016049713,0.0043468517916543,0.5136717022513319,0.6700179278033194,0.692356233215083,192,2,1,0.000767704428912,6.0517975052495054e-05,4,smoothl1
129,5,5e987e12,13,0.1045032445952375,0.0132577714544755,0.4745563702510927,0.6290438741891441,0.7288328052405515,192,3,4,0.0003855359747,1.9007704791649575e-05,8,smoothl1
183,2,746894a0,18,0.0722911945844768,0.0322120500107606,0.4083299756645204,0.5231472891786499,0.8124473382708443,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
270,2,746894a0,26,0.0705148663529485,0.0017763282315283,0.3794358177493737,0.5255420221205492,0.8107263448765147,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
315,2,746894a0,30,0.0693245194950904,0.001190346857858,0.3674850078914974,0.5239803376680419,0.8118495530514833,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
337,2,746894a0,32,0.068797479147121,0.0005270403479693,0.3761101796981809,0.5092182303101814,0.8223017462461686,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
353,9,5d933394,29,0.0643152791277441,0.0044822000193769,0.3520266501794619,0.5000772395031307,0.8286242175899967,64,1,3,0.0007031405806703,6.761607201166299e-05,8,smoothl1
359,2,746894a0,34,0.0596971834305102,0.0046180956972338,0.3395502557420565,0.4769574557949412,0.8441041488011519,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
414,2,746894a0,39,0.0584221957448534,0.0012749876856568,0.3467683975979373,0.4697015999885619,0.84881129308712,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
493,9,5d933394,44,0.0583448561435693,7.733960128409462e-05,0.3222394520881268,0.4857960433033909,0.8382727432581231,64,1,3,0.0007031405806703,6.761607201166299e-05,8,smoothl1
494,2,746894a0,46,0.052544303800142,0.0058005523434273,0.31393995886414,0.4533886913506373,0.8591306078739006,128,3,3,0.0019269076232637,2.717454615443929e-06,8,smoothl1
5410,164,1da1807c,47,0.051437143916412,0.00110715988373,0.3248804320709462,0.4422961198185569,0.8659392847035461,64,3,3,0.0008624061985369,4.984826029779249e-06,8,smoothl1
5472,174,f0c92e93,38,0.051425557011965,1.1586904446997393e-05,0.3257185462782008,0.439373136301902,0.8677053523598147,64,2,1,0.0007033122173895,2.721437009764781e-06,8,smoothl1
5536,174,f0c92e93,44,0.0505784095373379,0.0008471474746271,0.3203641356881956,0.4349176449536633,0.870374833010399,64,2,1,0.0007033122173895,2.721437009764781e-06,8,smoothl1
5839,198,f770353c,38,0.0499092991705294,0.0006691103668085,0.327800122607438,0.433072534914289,0.8714723527931527,64,2,1,0.0008350182411692,1.3314703565427604e-06,8,smoothl1
5862,198,f770353c,50,0.0496761531214274,0.000233146049102,0.3194884380553493,0.4319007420957333,0.8721669432239992,64,2,1,0.0008350182411692,1.3314703565427604e-06,8,smoothl1
