best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done,epoch,num_reported_rows,run_group,test_mae,test_r2,test_rmse,time_total_s,training_iteration,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse
4,0.1467469253394969,3,4,3,128,smoothl1,0.0005365156620814,3.201662978213621e-05,True,8,8,group_A,,,,114.03727698326112,8,"trainable_04326c12_117_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_03-13-19",0.2018602220390839,0.6812437070236999,0.4070989058885284,0.9301510681746106
6,0.1461600097556593,1,4,2,128,smoothl1,0.0014531711494466,7.474778140209621e-06,True,8,8,group_A,,,,86.78418350219727,8,"trainable_04cd22e9_54_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=128,loss=smoothl1,lr=0.0015,weight_decay=0.0000_2026-07-09_02-49-17",0.1727305917591645,0.6348927950707054,0.5383615614003507,0.8207546368942152
8,0.3392577926633219,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,True,8,8,group_A,,,,117.96716070175172,8,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.3392577926633219,0.6119998742934916,0.566947282448484,0.7949370657052108
28,0.0706906060653704,2,8,1,256,smoothl1,0.0006346477570021,4.2396711736265056e-05,True,32,32,group_A,,,,284.2777874469757,32,"trainable_06b4c249_177_alignn_layers=2,batch_size=8,gcn_layers=1,hidden_features=256,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-32-47",0.0783917543591645,0.3801442308634584,0.7817398435967379,0.5643513838193308
40,0.0592208108987915,2,8,1,128,smoothl1,0.0006252198216744,6.792604548098325e-05,True,50,50,group_A,,,,439.32446670532227,50,"trainable_06be5472_78_alignn_layers=2,batch_size=8,gcn_layers=1,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0001_2026-07-09_03-00-25",0.0602049364082554,0.3361815150698179,0.839479907159842,0.4839796090195098
8,0.3646678170435643,1,4,4,192,mse,0.0004552409169033,5.053383615351012e-05,True,8,8,group_A,,,,100.15114188194276,8,"trainable_07dae8e0_4_alignn_layers=1,batch_size=4,gcn_layers=4,hidden_features=192,loss=mse,lr=0.0005,weight_decay=0.0001_2026-07-09_02-22-12",0.3646678170435643,0.655581121543798,0.5345121210954058,0.8241695246698172
4,0.2790389347171026,2,8,1,128,mse,0.0008777852896508,2.0009721453004137e-05,True,8,8,group_A,,,,75.06699514389038,8,"trainable_088e1075_97_alignn_layers=2,batch_size=8,gcn_layers=1,hidden_features=128,loss=mse,lr=0.0009,weight_decay=0.0000_2026-07-09_03-08-12",0.3054883270351975,0.5968480560032237,0.6100530249312757,0.7543365325528294
7,0.1419113108089991,1,8,3,64,smoothl1,0.0007892239534158,3.077373537316662e-06,True,8,8,group_A,,,,70.91983723640442,8,"trainable_0923a9c6_151_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_03-22-59",0.1639913291172691,0.6097630605311882,0.5416652040223353,0.8178125633154604
28,0.0698104735030226,4,8,3,64,smoothl1,0.0014127386582055,2.0055241403992863e-06,True,32,32,group_A,,,,338.1329162120819,32,"trainable_0ada9554_41_alignn_layers=4,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0014,weight_decay=0.0000_2026-07-09_02-44-33",0.1051610459884007,0.4443818902264496,0.6975069877245683,0.6643853333486304
4,0.1399103826079419,1,8,3,128,smoothl1,0.0006401174164322,2.229813063925539e-05,True,8,8,group_A,,,,70.87173795700073,8,"trainable_0c743f28_120_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0006,weight_decay=0.0000_2026-07-09_03-13-57",0.1645396220147925,0.6370050644815243,0.5477575632217959,0.8123590434070146
