best_epoch,best_val_loss_model_space,config_alignn_layers,config_batch_size,config_gcn_layers,config_hidden_features,config_loss,config_lr,config_weight_decay,done_x,elapsed_seconds,epoch,iterations_since_restore,run_group,time_since_restore,time_this_iter_s,time_total_s,train_loss_model_space,training_iteration,trial_id,trial_name,val_loss_model_space,val_mae,val_r2,val_rmse,trial_id_short,trial_order_within_shard,selected_best_epoch,selected_val_loss_model_space,max_epoch,reported_rows,final_time_total_s,status,done_y,trial_order
45,0.0619476695776616,3,8,4,192,smoothl1,0.0003855359747,1.9007704791649575e-05,False,466.5366036891937,45,45,group_A,468.17369747161865,10.467046976089478,468.17369747161865,0.0455285431755862,45,5e987e12,"trainable_5e987e12_5_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=192,loss=smoothl1,lr=0.0004,weight_decay=0.0000_2026-07-09_02-22-15",0.0619476695776616,0.3443495456079663,0.8316549968011391,0.495635583441037,5e987e12,5,45,0.0619476695776616,50,50,520.1214702129364,full-budget,True,1
46,0.052544303800142,3,8,3,128,smoothl1,0.0019269076232637,2.717454615443929e-06,False,471.9554798603058,46,46,group_B,478.400595664978,10.231724262237549,478.400595664978,0.0371559447053405,46,746894a0,"trainable_746894a0_2_alignn_layers=3,batch_size=8,gcn_layers=3,hidden_features=128,loss=smoothl1,lr=0.0019,weight_decay=0.0000_2026-07-09_02-22-07",0.052544303800142,0.31393995886414,0.8591306078739006,0.4533886913506373,746894a0,2,46,0.052544303800142,50,50,519.046225309372,full-budget,True,2
8,0.3646678170435643,1,4,4,192,mse,0.0004552409169033,5.053383615351012e-05,True,98.4932417869568,8,8,group_A,100.15114188194276,11.98549771308899,100.15114188194276,0.6514009296884263,8,07dae8e0,"trainable_07dae8e0_4_alignn_layers=1,batch_size=4,gcn_layers=4,hidden_features=192,loss=mse,lr=0.0005,weight_decay=0.0001_2026-07-09_02-22-12",0.3646678170435643,0.655581121543798,0.5345121210954058,0.8241695246698172,07dae8e0,4,8,0.3646678170435643,8,8,100.15114188194276,ASHA-stopped,True,3
4,0.3889924205800213,1,4,4,256,mse,0.0017626694254277,4.332677970904915e-06,False,51.89694023132324,4,4,group_B,56.0195472240448,12.118678092956545,56.0195472240448,0.7226191850157162,4,9c82ac63,"trainable_9c82ac63_3_alignn_layers=1,batch_size=4,gcn_layers=4,hidden_features=256,loss=mse,lr=0.0018,weight_decay=0.0000_2026-07-09_02-22-09",0.3889924205800213,0.7055303645055813,0.503462478461034,0.8512132971995789,9c82ac63,3,4,0.3889924205800213,8,8,103.99288368225098,ASHA-stopped,True,4
45,0.1508941426281891,1,4,1,192,mse,0.0015186541422714,4.399436666931211e-06,False,447.2990112304687,45,45,group_A,448.7556581497192,9.907094955444336,448.7556581497192,0.2635970876709735,45,e0ee0b49,"trainable_e0ee0b49_6_alignn_layers=1,batch_size=4,gcn_layers=1,hidden_features=192,loss=mse,lr=0.0015,weight_decay=0.0000_2026-07-09_02-22-17",0.1508941426281891,0.3803081730479961,0.8073880096014049,0.5301564174424356,e0ee0b49,6,45,0.1508941426281891,50,50,498.18932938575745,full-budget,True,5
16,0.2166637281576792,3,4,2,64,mse,0.0008430072729175,3.039296136739057e-06,True,209.3516263961792,16,16,group_A,215.43621373176575,12.86854100227356,215.43621373176575,0.5486288641562895,16,f1bdca42,"trainable_f1bdca42_2_alignn_layers=3,batch_size=4,gcn_layers=2,hidden_features=64,loss=mse,lr=0.0008,weight_decay=0.0000_2026-07-09_02-22-07",0.2166637281576792,0.4565851485936271,0.7234350458180829,0.635273788105477,f1bdca42,2,16,0.2166637281576792,16,16,215.43621373176575,ASHA-stopped,True,6
8,0.3392577926633219,4,4,1,256,mse,0.001640789528168,7.662252584778408e-05,True,114.45836043357848,8,8,group_A,117.96716070175172,13.695771932601929,117.96716070175172,0.7024129680661365,8,05043835,"trainable_05043835_3_alignn_layers=4,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0016,weight_decay=0.0001_2026-07-09_02-22-10",0.3392577926633219,0.6119998742934916,0.566947282448484,0.7949370657052108,05043835,3,8,0.3392577926633219,8,8,117.96716070175172,ASHA-stopped,True,7
8,0.132403425990589,3,4,3,64,smoothl1,0.000525191145447,1.2662360512437638e-05,False,113.19514298439026,8,8,group_B,122.29313659667967,13.578019857406616,122.29313659667967,0.2516706192043166,8,a8eaad57,"trainable_a8eaad57_1_alignn_layers=3,batch_size=4,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-02",0.132403425990589,0.560077274777791,0.6530860919884671,0.7114972386843681,a8eaad57,1,8,0.132403425990589,16,16,232.06975054740903,ASHA-stopped,True,8
5,0.3345368890850632,4,4,3,128,mse,0.0005281720589876,2.6590124263276106e-06,False,81.54167532920837,5,5,group_B,83.12918710708618,15.400771141052246,83.12918710708618,0.6749022392454294,5,9b47730f,"trainable_9b47730f_4_alignn_layers=4,batch_size=4,gcn_layers=3,hidden_features=128,loss=mse,lr=0.0005,weight_decay=0.0000_2026-07-09_02-22-12",0.3345368890850632,0.614647164525152,0.5729733796013534,0.7893867600259736,9b47730f,4,5,0.3345368890850632,8,8,129.55682516098022,ASHA-stopped,True,9
7,0.360330132580308,3,8,4,128,mse,0.0005422491223224,6.073700261609541e-05,False,72.42282891273499,7,7,group_A,74.00770664215088,10.2533597946167,74.00770664215088,0.5087013782601045,7,cbdd00d9,"trainable_cbdd00d9_7_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=128,loss=mse,lr=0.0005,weight_decay=0.0001_2026-07-09_02-22-20",0.360330132580308,0.6396999313506071,0.5400490445817935,0.8192531613376356,cbdd00d9,7,7,0.360330132580308,8,8,84.45879817008972,ASHA-stopped,True,10
25,0.1004206659420142,3,4,4,192,smoothl1,0.0007928744631039,1.7054805962712718e-06,False,371.94800448417664,25,25,group_A,380.5390698909759,14.71115016937256,380.5390698909759,0.1636189397435495,25,d5ba5a16,"trainable_d5ba5a16_1_alignn_layers=3,batch_size=4,gcn_layers=4,hidden_features=192,loss=smoothl1,lr=0.0008,weight_decay=0.0000_2026-07-09_02-22-04",0.1004206659420142,0.4383476338593877,0.7197078919586162,0.6395401260388487,d5ba5a16,1,25,0.1004206659420142,32,32,483.13574838638306,ASHA-stopped,True,11
28,0.0817023525359453,2,4,1,192,smoothl1,0.000767704428912,6.0517975052495054e-05,False,316.62627124786377,28,28,group_A,318.1764545440674,11.211528301239014,318.1764545440674,0.1395291352290182,28,1e2b000e,"trainable_1e2b000e_8_alignn_layers=2,batch_size=4,gcn_layers=1,hidden_features=192,loss=smoothl1,lr=0.0008,weight_decay=0.0001_2026-07-09_02-22-23",0.0817023525359453,0.4032322665053948,0.77373347233062,0.5746091261375731,1e2b000e,8,28,0.0817023525359453,32,32,363.15723872184753,ASHA-stopped,True,12
47,0.0558859681434653,1,8,3,64,smoothl1,0.0007031405806703,6.761607201166299e-05,False,401.7744054794311,47,47,group_A,403.2642502784729,8.503709316253662,403.2642502784729,0.0659928583227946,47,5d933394,"trainable_5d933394_9_alignn_layers=1,batch_size=8,gcn_layers=3,hidden_features=64,loss=smoothl1,lr=0.0007,weight_decay=0.0001_2026-07-09_02-22-25",0.0558859681434653,0.3342840687084347,0.8498419679364582,0.4680978508692964,5d933394,9,47,0.0558859681434653,50,50,428.96500849723816,full-budget,True,13
13,0.2048150276538556,4,8,1,64,mse,0.0004048109250561,4.955788032554616e-05,False,130.67498254776,13,13,group_A,132.27466464042664,10.100978136062622,132.27466464042664,0.4465011900059089,13,aed0ae9a,"trainable_aed0ae9a_10_alignn_layers=4,batch_size=8,gcn_layers=1,hidden_features=64,loss=mse,lr=0.0004,weight_decay=0.0000_2026-07-09_02-23-50",0.2048150276538556,0.4873804394647624,0.7385595699032041,0.6176589487170582,aed0ae9a,10,13,0.2048150276538556,16,16,162.3207323551178,ASHA-stopped,True,14
4,0.3069653954928514,4,8,1,64,mse,0.0011989499282864,7.741576069594492e-06,False,40.17683267593384,4,4,group_B,41.77051901817322,9.712626695632936,41.77051901817322,0.6094001588498078,4,f6ab9909,"trainable_f6ab9909_5_alignn_layers=4,batch_size=8,gcn_layers=1,hidden_features=64,loss=mse,lr=0.0012,weight_decay=0.0000_2026-07-09_02-22-14",0.3069653954928514,0.5928112693501141,0.6081675862750138,0.7561579855974122,f6ab9909,5,4,0.3069653954928514,8,8,80.89605212211609,ASHA-stopped,True,15
6,0.3107346720086834,3,4,1,256,mse,0.0009034933366724,1.8151075473843411e-06,False,75.60149097442627,6,6,group_A,77.24235248565674,12.56799864768982,77.24235248565674,0.6883415865311503,6,713577d3,"trainable_713577d3_11_alignn_layers=3,batch_size=4,gcn_layers=1,hidden_features=256,loss=mse,lr=0.0009,weight_decay=0.0000_2026-07-09_02-23-58",0.3107346720086834,0.5759662992812686,0.6033562194016845,0.7607863076170254,713577d3,11,6,0.3107346720086834,8,8,102.40548205375671,ASHA-stopped,True,16
26,0.071131794935181,3,8,4,192,smoothl1,0.001794144985515,1.3009114661577766e-06,False,272.7380061149597,26,26,group_B,274.197998046875,10.41490125656128,274.197998046875,0.1155001810795386,26,f590d49c,"trainable_f590d49c_6_alignn_layers=3,batch_size=8,gcn_layers=4,hidden_features=192,loss=smoothl1,lr=0.0018,weight_decay=0.0000_2026-07-09_02-23-59",0.071131794935181,0.3875687109267824,0.8133870988933463,0.5218349894336723,f590d49c,6,26,0.071131794935181,32,32,337.17947220802307,ASHA-stopped,True,17
14,0.109285537964078,1,4,2,64,smoothl1,0.0019516702471959,1.038238000572605e-06,False,144.86170768737793,14,14,group_B,146.41272950172424,10.301018714904783,146.41272950172424,0.2211074027391622,14,78f8f7d9,"trainable_78f8f7d9_7_alignn_layers=1,batch_size=4,gcn_layers=2,hidden_features=64,loss=smoothl1,lr=0.0020,weight_decay=0.0000_2026-07-09_02-24-27",0.109285537964078,0.4824003032473724,0.713435533877388,0.6466563279550263,78f8f7d9,7,14,0.109285537964078,16,16,167.15196990966797,ASHA-stopped,True,18
